Transaction ID,Transaction Amount,Transaction Location,Transaction Time,Cardholder ID,Is Fraud?
TXN00001,2867.65,Los Angeles,2023-03-08 13:04:00,CH000,0
TXN00002,690.13,Houston,2023-03-05 12:35:00,CH001,0
TXN00003,4276.17,Houston,2023-10-05 20:45:00,CH002,0
TXN00004,4281.44,New York,2023-02-27 14:31:00,CH003,1
TXN00005,3521.5,Phoenix,2023-07-24 13:48:00,CH004,0
TXN00006,2443.44,Los Angeles,2023-10-05 01:59:00,CH005,0
TXN00007,3767.88,Phoenix,2023-03-21 14:52:00,CH006,0
TXN00008,1734.07,Chicago,2023-04-10 05:59:00,CH007,0
TXN00009,2773.36,Chicago,2023-08-10 14:41:00,CH008,0
TXN00010,737.06,Los Angeles,2023-02-10 17:26:00,CH009,0
TXN00011,4113.15,New York,2023-10-08 06:48:00,CH010,0
TXN00012,3932.45,Houston,2023-11-26 15:26:00,CH011,0
TXN00013,2493.14,Los Angeles,2023-09-26 00:23:00,CH012,0
TXN00014,976.04,Phoenix,2023-02-26 07:54:00,CH013,0
TXN00015,3700.45,Chicago,2023-06-03 12:46:00,CH014,0
TXN00016,3285.71,Phoenix,2023-09-24 01:35:00,CH015,0
TXN00017,3120.18,Phoenix,2023-12-16 18:30:00,CH016,0
TXN00018,4696.46,New York,2023-08-25 13:04:00,CH017,0
TXN00019,311.01,Houston,2023-10-20 20:14:00,CH018,0
TXN00020,3092.97,Chicago,2023-03-07 00:31:00,CH019,0
TXN00021,3797.24,Los Angeles,2023-02-26 22:29:00,CH020,0
TXN00022,881.34,Chicago,2023-05-16 00:21:00,CH021,0
TXN00023,1202.96,Chicago,2023-12-26 04:20:00,CH022,0
TXN00024,4895.34,Chicago,2023-09-01 07:13:00,CH023,0
TXN00025,3723.1,New York,2023-09-23 11:05:00,CH024,0
TXN00026,4952.9,Houston,2023-07-16 01:06:00,CH025,0
TXN00027,3491.06,Los Angeles,2023-09-24 03:15:00,CH026,0
TXN00028,965.66,Los Angeles,2023-07-14 03:43:00,CH027,0
TXN00029,3766.23,Phoenix,2023-10-18 04:02:00,CH028,0
TXN00030,2588.88,Los Angeles,2023-04-17 09:16:00,CH029,0
TXN00031,62.9,Los Angeles,2023-01-02 19:55:00,CH030,0
TXN00032,3721.55,Houston,2023-10-12 12:35:00,CH031,0
TXN00033,2547.1,Chicago,2023-05-21 23:19:00,CH032,0
TXN00034,863.82,Phoenix,2023-02-11 22:01:00,CH033,0
TXN00035,446.26,Houston,2023-01-26 21:19:00,CH034,0
TXN00036,4148.62,Phoenix,2023-01-03 20:31:00,CH035,0
TXN00037,231.04,Houston,2023-09-15 02:13:00,CH036,0
TXN00038,4571.05,Phoenix,2023-01-12 23:01:00,CH037,1
TXN00039,3579.95,Phoenix,2023-01-27 15:18:00,CH038,0
TXN00040,1331.38,Los Angeles,2023-08-17 02:45:00,CH039,0
TXN00041,3365.29,Chicago,2023-12-20 03:27:00,CH040,0
TXN00042,185.09,Los Angeles,2023-09-12 16:55:00,CH041,0
TXN00043,1689.43,Los Angeles,2023-05-16 12:01:00,CH042,0
TXN00044,2860.9,New York,2023-07-09 00:27:00,CH043,0
TXN00045,2576.43,Los Angeles,2023-03-13 07:47:00,CH044,0
TXN00046,2225.05,Phoenix,2023-02-27 18:47:00,CH045,0
TXN00047,4248.94,New York,2023-01-27 07:14:00,CH046,1
TXN00048,346.84,Chicago,2023-11-17 01:49:00,CH047,0
TXN00049,2386.54,Houston,2023-08-25 17:02:00,CH048,0
TXN00050,3858.85,Los Angeles,2023-04-02 06:48:00,CH049,0
TXN00051,193.76,Los Angeles,2023-05-15 20:41:00,CH050,0
TXN00052,2053.82,Phoenix,2023-12-04 12:45:00,CH051,0
TXN00053,3097.64,Chicago,2023-01-26 22:15:00,CH052,0
TXN00054,4309.55,Phoenix,2023-10-17 02:02:00,CH053,0
TXN00055,482.12,Los Angeles,2023-07-07 11:10:00,CH054,0
TXN00056,639.85,Houston,2023-08-02 13:25:00,CH055,0
TXN00057,1232.35,Los Angeles,2023-02-02 06:20:00,CH056,0
TXN00058,807.01,Houston,2023-02-14 17:48:00,CH057,0
TXN00059,1365.09,Houston,2023-02-25 14:52:00,CH058,0
TXN00060,2100.6,New York,2023-09-02 22:37:00,CH059,0
TXN00061,1793.67,Los Angeles,2023-08-22 11:16:00,CH060,0
TXN00062,964.99,Houston,2023-07-23 23:33:00,CH061,0
TXN00063,832.28,Houston,2023-10-26 01:25:00,CH062,0
TXN00064,1759.12,Houston,2023-10-26 15:22:00,CH063,0
TXN00065,1017.37,Los Angeles,2023-09-02 01:15:00,CH064,0
TXN00066,89.9,Chicago,2023-04-28 11:48:00,CH065,0
TXN00067,1541.6,New York,2023-07-28 23:25:00,CH066,0
TXN00068,364.79,New York,2023-12-02 19:53:00,CH067,0
TXN00069,4152.58,Phoenix,2023-11-16 22:47:00,CH068,0
TXN00070,3465.78,Phoenix,2023-06-25 00:53:00,CH069,0
TXN00071,4014.84,Phoenix,2023-03-18 20:57:00,CH070,0
TXN00072,2233.6,Houston,2023-03-06 17:13:00,CH071,0
TXN00073,1186.46,Phoenix,2023-02-17 09:48:00,CH072,0
TXN00074,4597.87,New York,2023-08-25 19:41:00,CH073,1
TXN00075,2544.71,Phoenix,2023-10-18 12:23:00,CH074,0
TXN00076,207.12,New York,2023-05-22 15:52:00,CH075,0
TXN00077,501.3,New York,2023-06-11 19:11:00,CH076,0
TXN00078,419.55,New York,2023-12-27 15:19:00,CH077,0
TXN00079,1721.43,Los Angeles,2023-12-10 05:02:00,CH078,0
TXN00080,4635.51,Chicago,2023-12-26 10:16:00,CH079,1
TXN00081,356.86,Phoenix,2023-07-27 20:34:00,CH080,0
TXN00082,890.99,New York,2023-09-06 12:09:00,CH081,0
TXN00083,1108.54,Phoenix,2023-11-22 09:15:00,CH082,0
TXN00084,4885.45,Phoenix,2023-04-19 23:17:00,CH083,1
TXN00085,3355.9,Phoenix,2023-11-12 00:31:00,CH084,0
TXN00086,3718.74,Chicago,2023-07-19 16:37:00,CH085,0
TXN00087,737.91,New York,2023-05-24 03:15:00,CH086,0
TXN00088,1777.92,Phoenix,2023-05-12 23:15:00,CH087,0
TXN00089,1534.81,Houston,2023-11-11 06:12:00,CH088,0
TXN00090,1375.3,New York,2023-07-02 16:38:00,CH089,0
TXN00091,3965.56,New York,2023-07-15 08:42:00,CH090,0
TXN00092,3236.3,Los Angeles,2023-01-04 20:11:00,CH091,0
TXN00093,857.38,Phoenix,2023-11-07 17:50:00,CH092,0
TXN00094,2815.67,New York,2023-07-07 20:50:00,CH093,0
TXN00095,735.98,New York,2023-10-20 18:51:00,CH094,0
TXN00096,3153.57,New York,2023-03-19 17:56:00,CH095,0
TXN00097,2806.48,Houston,2023-11-05 21:11:00,CH096,0
TXN00098,198.37,Los Angeles,2023-09-19 04:02:00,CH097,0
TXN00099,2275.18,Los Angeles,2023-09-02 03:18:00,CH098,0
TXN00100,4016.15,Phoenix,2023-07-01 21:23:00,CH099,0
TXN00101,2027.52,Houston,2023-07-02 11:19:00,CH000,0
TXN00102,3967.56,Los Angeles,2023-07-12 09:09:00,CH001,0
TXN00103,1142.45,Chicago,2023-03-17 15:41:00,CH002,0
TXN00104,3978.84,Chicago,2023-11-05 21:41:00,CH003,0
TXN00105,778.07,Houston,2023-04-08 05:21:00,CH004,0
TXN00106,1669.72,Houston,2023-05-11 08:10:00,CH005,0
TXN00107,1031.83,Phoenix,2023-01-18 11:09:00,CH006,0
TXN00108,4149.04,Chicago,2023-07-12 10:47:00,CH007,0
TXN00109,2722.9,Phoenix,2023-09-20 09:42:00,CH008,0
TXN00110,511.77,Houston,2023-08-12 23:37:00,CH009,0
TXN00111,4659.52,Chicago,2023-04-11 00:25:00,CH010,0
TXN00112,2576.54,Houston,2023-12-26 12:23:00,CH011,0
TXN00113,2141.94,Chicago,2023-06-19 23:36:00,CH012,0
TXN00114,3058.55,Houston,2023-04-09 00:05:00,CH013,0
TXN00115,90.98,New York,2023-12-02 00:31:00,CH014,0
TXN00116,2990.1,Houston,2023-07-14 22:23:00,CH015,0
TXN00117,3799.62,Houston,2023-10-15 06:15:00,CH016,0
TXN00118,2155.24,Phoenix,2023-03-18 16:34:00,CH017,0
TXN00119,3689.6,Houston,2023-09-27 17:04:00,CH018,0
TXN00120,4844.81,Chicago,2023-08-16 12:10:00,CH019,0
TXN00121,2841.5,Phoenix,2023-06-20 08:48:00,CH020,0
TXN00122,539.23,Houston,2023-11-13 20:23:00,CH021,0
TXN00123,998.28,Phoenix,2023-12-21 20:28:00,CH022,0
TXN00124,1125.17,New York,2023-06-02 06:11:00,CH023,0
TXN00125,4103.46,Phoenix,2023-01-20 07:25:00,CH024,1
TXN00126,2198.56,Houston,2023-03-24 09:54:00,CH025,0
TXN00127,4732.24,Chicago,2023-03-17 15:03:00,CH026,1
TXN00128,3234.51,Chicago,2023-08-19 01:03:00,CH027,0
TXN00129,3857.38,Houston,2023-02-20 18:39:00,CH028,0
TXN00130,191.37,Los Angeles,2023-04-14 21:04:00,CH029,0
TXN00131,4246.97,Chicago,2023-05-22 07:51:00,CH030,0
TXN00132,1616.31,New York,2023-09-02 08:19:00,CH031,0
TXN00133,2015.4,New York,2023-06-04 14:07:00,CH032,0
TXN00134,317.37,Phoenix,2023-10-08 19:35:00,CH033,0
TXN00135,2880.53,Houston,2023-04-26 01:35:00,CH034,0
TXN00136,4376.15,Houston,2023-04-13 17:45:00,CH035,1
TXN00137,4269.79,Chicago,2023-09-24 13:12:00,CH036,1
TXN00138,1174.02,Los Angeles,2023-11-18 04:20:00,CH037,0
TXN00139,1415.93,Houston,2023-06-22 07:50:00,CH038,0
TXN00140,724.38,Chicago,2023-03-11 11:28:00,CH039,0
TXN00141,4742.29,Los Angeles,2023-06-23 11:45:00,CH040,0
TXN00142,4660.79,New York,2023-11-23 11:02:00,CH041,0
TXN00143,2586.66,Houston,2023-08-06 00:07:00,CH042,0
TXN00144,2879.24,Chicago,2023-01-09 11:03:00,CH043,0
TXN00145,4345.7,Los Angeles,2023-12-24 14:48:00,CH044,0
TXN00146,985.82,Chicago,2023-02-11 17:21:00,CH045,0
TXN00147,1476.86,Chicago,2023-07-21 13:29:00,CH046,0
TXN00148,2757.91,Chicago,2023-09-24 21:43:00,CH047,0
TXN00149,3901.77,Los Angeles,2023-05-16 17:52:00,CH048,0
TXN00150,3346.29,Chicago,2023-05-02 08:00:00,CH049,0
TXN00151,1881.71,Houston,2023-12-05 03:02:00,CH050,0
TXN00152,3896.75,Los Angeles,2023-08-16 03:58:00,CH051,0
TXN00153,252.18,Chicago,2023-03-20 18:48:00,CH052,0
TXN00154,3962.71,Houston,2023-10-24 19:33:00,CH053,0
TXN00155,3934.82,Houston,2023-03-25 02:03:00,CH054,0
TXN00156,585.34,Phoenix,2023-06-14 17:15:00,CH055,0
TXN00157,4473.36,Phoenix,2023-09-21 02:50:00,CH056,1
TXN00158,3401.83,Chicago,2023-10-11 20:36:00,CH057,0
TXN00159,568.64,Houston,2023-01-26 05:27:00,CH058,0
TXN00160,2852.68,New York,2023-11-07 03:37:00,CH059,0
TXN00161,4423.28,Chicago,2023-03-16 19:41:00,CH060,0
TXN00162,2001.08,Los Angeles,2023-06-01 19:57:00,CH061,0
TXN00163,1290.34,Los Angeles,2023-11-27 21:34:00,CH062,0
TXN00164,2713.14,New York,2023-02-12 01:16:00,CH063,0
TXN00165,1005.85,New York,2023-02-03 21:15:00,CH064,0
TXN00166,4137.34,New York,2023-06-07 21:53:00,CH065,1
TXN00167,145.47,Phoenix,2023-10-14 05:58:00,CH066,0
TXN00168,2500.62,Los Angeles,2023-05-20 12:27:00,CH067,0
TXN00169,2645.11,Phoenix,2023-08-02 08:56:00,CH068,0
TXN00170,222.91,Houston,2023-01-09 02:03:00,CH069,0
TXN00171,783.73,Los Angeles,2023-10-11 05:36:00,CH070,0
TXN00172,1753.18,Los Angeles,2023-11-10 09:24:00,CH071,0
TXN00173,2974.38,Los Angeles,2023-06-12 02:36:00,CH072,0
TXN00174,415.6,New York,2023-02-20 10:16:00,CH073,0
TXN00175,2511.28,Los Angeles,2023-12-13 22:43:00,CH074,0
TXN00176,763.48,New York,2023-08-12 18:33:00,CH075,0
TXN00177,1291.57,Phoenix,2023-02-20 08:31:00,CH076,0
TXN00178,3785.31,Los Angeles,2023-04-17 10:25:00,CH077,0
TXN00179,3956.96,Los Angeles,2023-09-22 07:57:00,CH078,0
TXN00180,2580.97,New York,2023-06-03 06:28:00,CH079,0
TXN00181,1829.36,New York,2023-02-04 16:26:00,CH080,0
TXN00182,3300.8,Chicago,2023-01-21 05:53:00,CH081,0
TXN00183,2170.59,Houston,2023-01-11 23:00:00,CH082,0
